id;unique_message;group_users;file;type_file;message_text;date;status;date_status;errors;template_id
1;a792c25b-7cde-4025-9392-5e24fd380dd8;90256;payment experiences;PNG;International;2023-12-26T01:04:18;NEW;2023-12-25T23:40:26;SCSI invoice;1
2;c4b19986-6aff-4e62-8991-5d639b849052;30121;executive engine;PDF;Station Fantastic green;2023-12-26T11:46:19;ERROR;2023-12-25T19:21:21;Regional;2
3;d1d85f1a-1db6-438b-b286-bc6f3d682a5f;42637;indigo Virginia;PNG;Plastic strategize;2023-12-26T05:01:50;ERROR;2023-12-26T15:47:46;Salad;3
4;d5b988c2-5b1d-4418-91e5-085e584ae2b7;9803;Tools initiatives;PNG;static pixel;2023-12-26T00:57:17;NEW;2023-12-26T15:47:32;mindshare;4
5;4099262b-c586-4d1a-babb-0049ba40f273;14015;Public-key;PNG;Israel Savings;2023-12-26T06:34:23;IN_QUEUE;2023-12-26T07:47:14;azure;5
6;62f901e8-2c7a-41db-a73e-d3e5badc636a;96396;Borders budgetary multi-state;PNG;Kids;2023-12-26T11:28:11;IN_QUEUE;2023-12-26T01:30:43;JBOD;1
7;801a6d10-04ef-4619-9ca5-75940b108358;71065;Bedfordshire Vermont Borders;PNG;Cambridgeshire indigo Pizza;2023-12-26T00:58:15;DELIVERED;2023-12-25T23:03:51;ivory;2
8;dccaf3bd-d074-4892-b6c2-0d3cd49090fa;66493;Direct;PNG;disintermediate Handmade;2023-12-26T08:54:14;READY_FOR_DELIVERY;2023-12-25T19:27:22;task-force;3
9;ec81d06f-d6ee-4a22-93a3-89a17a906a47;92252;Computers Shores Bhutan;PNG;magnetic Intelligent Frozen;2023-12-25T23:26:26;DELIVERED;2023-12-25T18:32:13;standardization;4
10;3b534e4a-32e1-4b5b-964c-4911b31c2798;44916;Pizza;PNG;Fresh;2023-12-26T07:07:46;READY_FOR_DELIVERY;2023-12-26T13:12:45;Table e-business incentivize;5
